IRDye™ 800 in PBS,,IRDye800CW emis corr.,,,,,,
Wavelength (nm),Absorption AU,wavelength,signal,,,,,
850,0.0004,,,,,,,
851,0.0003,,,,,,,
852,0.0004,,,,,,,
853,0.0003,,,,,,,
854,0.0004,,,,,,,
855,0.0004,,,,,,,
856,0.0003,,,,,,,
857,0.0002,,,,,,,
858,0.0005,,,,,,,
859,0.0005,,,,,,,
860,0.0005,,,,,,,
861,0.0002,,,,,,,
862,0.0005,,,,,,,
863,0.0003,,,,,,,
864,0.0004,,,,,,,
865,0.0003,,,,,,,
866,0.0003,,,,,,,
867,0.0002,,,,,,,
868,0.0003,,,,,,,
869,0.0002,,,,,,,
870,0.0005,,,,,,,
871,0.0001,,,,,,,
872,0.0005,,,,,,,
873,0.0001,,,,,,,
874,0.0007,,,,,,,
875,0.0005,,,,,,,
876,0.0004,,,,,,,
877,0.0002,,,,,,,
878,0.0004,,,,,,,
879,0.0004,,,,,,,
880,0.0002,,,,,,,
881,0.0002,,,,,,,
882,0.0005,,,,,,,
883,0.0002,,,,,,,
884,0.0005,,,,,,,
885,0.0003,,,,,,,
886,0.0004,,,,,,,
887,0.0003,,,,,,,
888,0.0004,,,,,,,
889,0.0004,,,,,,,
890,0.0002,,,,,,,
891,0.0002,,,,,,,
892,0.0005,,,,,,,
893,0.0000,,,,,,,
894,0.0004,,,,,,,
895,0.0004,,,,,,,
896,0.0002,,,,,,,
897,0.0003,,,,,,,
898,0.0001,,,,,,,
899,0.0004,,,,,,,
900,0.0002,,,,,,,
